"genes","task_id","curr_size","top_cluster_gr20","glm_coef_gr20","seed_number"
"AATK",2,20,"NoSig",0,989
"ABL1",2,20,"NoSig",0,989
"ABL2",2,20,"NoSig",0,989
"ACACB",2,20,"NoSig",0,989
"ACE",2,20,"NoSig",0,989
"ACKR1",2,20,"NoSig",0,989
"ACKR3",2,20,"NoSig",0,989
"ACKR4",2,20,"NoSig",0,989
"ACP5",2,20,"NoSig",0,989
"ACTA2",2,20,"c6",5.13713006234452,989
"ACTG2",2,20,"NoSig",0,989
"ACVR1",2,20,"NoSig",0,989
"ACVR1B",2,20,"NoSig",0,989
"ACVR2A",2,20,"NoSig",0,989
"ACVRL1",2,20,"NoSig",0,989
"ADGRA2",2,20,"NoSig",0,989
"ADGRA3",2,20,"NoSig",0,989
"ADGRE2",2,20,"NoSig",0,989
"ADGRE5",2,20,"NoSig",0,989
"ADGRF1",2,20,"NoSig",0,989
"ADGRF3",2,20,"NoSig",0,989
"ADGRF5",2,20,"NoSig",0,989
"ADGRG1",2,20,"NoSig",0,989
"ADGRG3",2,20,"NoSig",0,989
"ADGRG5",2,20,"NoSig",0,989
"ADGRG6",2,20,"NoSig",0,989
"ADGRL1",2,20,"NoSig",0,989
"ADGRL2",2,20,"NoSig",0,989
"ADGRL4",2,20,"NoSig",0,989
"ADGRV1",2,20,"NoSig",0,989
"ADIPOQ",2,20,"NoSig",0,989
"ADIRF",2,20,"c1",0.537327258034462,989
"ADM2",2,20,"NoSig",0,989
"AGR2",2,20,"NoSig",0,989
"AHI1",2,20,"NoSig",0,989
"AHR",2,20,"NoSig",0,989
"AIF1",2,20,"c3",0.826929531934201,989
"AKT1",2,20,"NoSig",0,989
"ALCAM",2,20,"NoSig",0,989
"ALOX5AP",2,20,"NoSig",0,989
"ANGPT1",2,20,"NoSig",0,989
"ANGPT2",2,20,"NoSig",0,989
"ANGPTL1",2,20,"NoSig",0,989
"ANKRD1",2,20,"NoSig",0,989
"ANXA1",2,20,"c3",1.44068666956126,989
"ANXA2",2,20,"NoSig",0,989
"ANXA4",2,20,"NoSig",0,989
"APOA1",2,20,"NoSig",0,989
"APOC1",2,20,"NoSig",0,989
"APOD",2,20,"NoSig",0,989
"APOE",2,20,"NoSig",0,989
"APP",2,20,"NoSig",0,989
"AQP3",2,20,"NoSig",0,989
"AR",2,20,"NoSig",0,989
"AREG",2,20,"NoSig",0,989
"ARF1",2,20,"NoSig",0,989
"ARG1",2,20,"NoSig",0,989
"ARHGDIB",2,20,"c3",1.56074948358813,989
"ARID5B",2,20,"NoSig",0,989
"ATF3",2,20,"NoSig",0,989
"ATG10",2,20,"NoSig",0,989
"ATG12",2,20,"NoSig",0,989
"ATG5",2,20,"NoSig",0,989
"ATM",2,20,"NoSig",0,989
"ATP5F1B",2,20,"NoSig",0,989
"ATP5F1E",2,20,"NoSig",0,989
"ATR",2,20,"NoSig",0,989
"AXL",2,20,"NoSig",0,989
"AZGP1",2,20,"c10",3.03706340679416,989
"AZU1",2,20,"NoSig",0,989
"B2M",2,20,"NoSig",0,989
"B3GNT7",2,20,"NoSig",0,989
"BAG3",2,20,"NoSig",0,989
"BASP1",2,20,"c3",0.507909044737059,989
"BAX",2,20,"NoSig",0,989
"BBLN",2,20,"NoSig",0,989
"BCL2",2,20,"NoSig",0,989
"BCL2L1",2,20,"NoSig",0,989
"BECN1",2,20,"NoSig",0,989
"BEST1",2,20,"NoSig",0,989
"BGN",2,20,"c6",5.93117119842632,989
"BID",2,20,"NoSig",0,989
"BIRC3",2,20,"NoSig",0,989
"BIRC5",2,20,"NoSig",0,989
"BMP1",2,20,"NoSig",0,989
"BMP2",2,20,"NoSig",0,989
"BMP3",2,20,"NoSig",0,989
"BMP4",2,20,"NoSig",0,989
"BMP5",2,20,"NoSig",0,989
"BMP7",2,20,"NoSig",0,989
"BMPR1A",2,20,"NoSig",0,989
"BMPR2",2,20,"NoSig",0,989
"BRAF",2,20,"NoSig",0,989
"BRCA1",2,20,"NoSig",0,989
"BST1",2,20,"NoSig",0,989
"BST2",2,20,"NoSig",0,989
"BTF3",2,20,"NoSig",0,989
"BTG1",2,20,"NoSig",0,989
"BTK",2,20,"NoSig",0,989
"C11orf96",2,20,"c6",2.13549701888802,989
"C1QA",2,20,"c3",2.23982645760194,989
