"genes","task_id","curr_size","top_cluster_gr10","glm_coef_gr10","seed_number"
"AATK",1,10,"NoSig",0,989
"ABL1",1,10,"NoSig",0,989
"ABL2",1,10,"NoSig",0,989
"ACACB",1,10,"NoSig",0,989
"ACE",1,10,"NoSig",0,989
"ACKR1",1,10,"NoSig",0,989
"ACKR3",1,10,"NoSig",0,989
"ACKR4",1,10,"NoSig",0,989
"ACP5",1,10,"NoSig",0,989
"ACTA2",1,10,"c6",5.81494288006954,989
"ACTG2",1,10,"NoSig",0,989
"ACVR1",1,10,"NoSig",0,989
"ACVR1B",1,10,"NoSig",0,989
"ACVR2A",1,10,"NoSig",0,989
"ACVRL1",1,10,"NoSig",0,989
"ADGRA2",1,10,"NoSig",0,989
"ADGRA3",1,10,"NoSig",0,989
"ADGRE2",1,10,"NoSig",0,989
"ADGRE5",1,10,"NoSig",0,989
"ADGRF1",1,10,"NoSig",0,989
"ADGRF3",1,10,"NoSig",0,989
"ADGRF5",1,10,"NoSig",0,989
"ADGRG1",1,10,"NoSig",0,989
"ADGRG3",1,10,"NoSig",0,989
"ADGRG5",1,10,"NoSig",0,989
"ADGRG6",1,10,"NoSig",0,989
"ADGRL1",1,10,"NoSig",0,989
"ADGRL2",1,10,"NoSig",0,989
"ADGRL4",1,10,"NoSig",0,989
"ADGRV1",1,10,"NoSig",0,989
"ADIPOQ",1,10,"NoSig",0,989
"ADIRF",1,10,"c1",0.590054675123963,989
"ADM2",1,10,"NoSig",0,989
"AGR2",1,10,"NoSig",0,989
"AHI1",1,10,"NoSig",0,989
"AHR",1,10,"NoSig",0,989
"AIF1",1,10,"NoSig",0,989
"AKT1",1,10,"NoSig",0,989
"ALCAM",1,10,"NoSig",0,989
"ALOX5AP",1,10,"NoSig",0,989
"ANGPT1",1,10,"NoSig",0,989
"ANGPT2",1,10,"NoSig",0,989
"ANGPTL1",1,10,"NoSig",0,989
"ANKRD1",1,10,"NoSig",0,989
"ANXA1",1,10,"c3",1.76353143058085,989
"ANXA2",1,10,"NoSig",0,989
"ANXA4",1,10,"NoSig",0,989
"APOA1",1,10,"c8",669.050027784016,989
"APOC1",1,10,"NoSig",0,989
