"genes","task_id","curr_size","top_cluster_gr50","glm_coef_gr50","seed_number"
"ABCC11",5,50,"c1",4.01551946002252,589
"ACTA2",5,50,"c4",5.0060184413515,589
"ACTG2",5,50,"c1",1.31555402205551,589
"ADAM9",5,50,"c1",1.68549751823565,589
"ADGRE5",5,50,"c5",0.487417057513511,589
"ADH1B",5,50,"c7",0.636070414069614,589
"ADIPOQ",5,50,"NoSig",0,589
"AGR3",5,50,"c1",0.439962088925881,589
"AIF1",5,50,"c3",2.72312464877536,589
"AKR1C1",5,50,"c1",0.158391721229717,589
"AKR1C3",5,50,"c2",0.0847949657674335,589
"ALDH1A3",5,50,"c1",0.179549789185346,589
"ANGPT2",5,50,"c7",0.655895060845282,589
"ANKRD28",5,50,"c1",0.256659904562465,589
"ANKRD29",5,50,"c7",0.678310612614648,589
"ANKRD30A",5,50,"c1",6.7707422830721,589
"APOBEC3A",5,50,"c1",0.0205798786749458,589
"APOBEC3B",5,50,"c1",0.1080543484611,589
"APOC1",5,50,"c3",2.26048354886123,589
"AQP1",5,50,"c7",7.03658979900067,589
"AQP3",5,50,"c1",0.319054364623688,589
"AR",5,50,"c1",1.40318164778196,589
"AVPR1A",5,50,"c7",0.324110726270405,589
"BACE2",5,50,"c1",0.428274693798456,589
"BANK1",5,50,"c6",1.55917347746804,589
"BASP1",5,50,"c2",1.73230852126865,589
"C15orf48",5,50,"c3",0.930414364392262,589
"C1QA",5,50,"c3",0.924376800484974,589
"C1QC",5,50,"c3",1.42589876093038,589
"C2orf42",5,50,"c1",0.105782217658537,589
"C5orf46",5,50,"c4",0.289047893869047,589
"C6orf132",5,50,"c1",0.382515238007032,589
"CAV1",5,50,"c7",2.86060506537794,589
"CAVIN2",5,50,"c7",0.438534860024801,589
"CCDC6",5,50,"c1",1.95435188067174,589
"CCDC80",5,50,"c2",6.69279469107124,589
"CCL5",5,50,"c5",1.23162161557638,589
"CCL8",5,50,"c2",0.114486743408285,589
"CCND1",5,50,"c1",7.99631483941417,589
"CCPG1",5,50,"c2",1.0363973203309,589
"CCR7",5,50,"c5",0.687923435033399,589
"CD14",5,50,"c3",1.03684297623639,589
"CD163",5,50,"c3",1.81476978511671,589
"CD19",5,50,"c6",0.460633102442969,589
"CD247",5,50,"c5",0.633293959823684,589
"CD27",5,50,"c6",0.67311370766975,589
"CD274",5,50,"c5",0.0776453982703995,589
"CD3E",5,50,"c5",2.73413968463761,589
"CD3G",5,50,"c5",0.740584717953808,589
"CD4",5,50,"c3",3.88775408215118,589
"CD68",5,50,"c3",4.29745418552583,589
"CD69",5,50,"c5",0.68447659444595,589
"CD79A",5,50,"c6",0.982063670956323,589
"CD79B",5,50,"c6",0.242240926330099,589
"CD80",5,50,"c3",0.124780390928903,589
"CD83",5,50,"c3",0.916894958112501,589
"CD86",5,50,"c3",0.83031200818612,589
"CD8A",5,50,"c5",1.24056153405695,589
"CD9",5,50,"c1",4.17907371507163,589
"CD93",5,50,"c7",3.67134015242507,589
"CDC42EP1",5,50,"c4",0.252745143241838,589
"CDH1",5,50,"c1",4.38602044771442,589
"CEACAM6",5,50,"c1",3.52852016277206,589
"CEACAM8",5,50,"c1",0.130102216028562,589
"CENPF",5,50,"c1",0.664609604527933,589
"CLEC14A",5,50,"c7",1.84138085824389,589
"CLEC9A",5,50,"c3",0.122230257481008,589
"CLECL1",5,50,"c6",0.183907749531555,589
"CLIC6",5,50,"c4",0.0573870937185432,589
"CPA3",5,50,"c9",2.00013519519202,589
"CRISPLD2",5,50,"c2",1.57214498993194,589
"CTH",5,50,"c1",0.0469746016159083,589
"CTLA4",5,50,"c5",0.434022315105495,589
"CTSG",5,50,"c9",0.763997962772373,589
"CTTN",5,50,"c1",3.68842370453544,589
"CX3CR1",5,50,"c4",0.213720091141167,589
"CXCL12",5,50,"c2",6.13726931533068,589
"CXCL16",5,50,"c4",0.55470065622353,589
"CXCL5",5,50,"c4",0.0365733614381563,589
"CXCR4",5,50,"c5",2.65989263350035,589
"CYTIP",5,50,"c5",0.987254491092942,589
"DAPK3",5,50,"c1",0.147714535311753,589
"DMKN",5,50,"c1",0.187947674422482,589
"DNAAF1",5,50,"c1",0.0332013889158072,589
"DNTTIP1",5,50,"c1",0.359496434662029,589
"DPT",5,50,"c2",0.733664277484678,589
"DSC2",5,50,"c4",1.93457088834362,589
"DSP",5,50,"c4",3.04531615102689,589
"DST",5,50,"c4",7.25038509449543,589
"DUSP2",5,50,"c5",0.187080396198671,589
"DUSP5",5,50,"c1",0.270610254846363,589
"EGFL7",5,50,"c7",0.554340614309997,589
"EGFR",5,50,"c4",0.960130730395204,589
"EIF4EBP1",5,50,"c1",0.354638432218939,589
"ENAH",5,50,"c1",2.1734103751674,589
"EPCAM",5,50,"c1",9.50880277113209,589
"ERBB2",5,50,"c1",21.1737614317678,589
"ERN1",5,50,"c2",0.741947360819288,589
"ESM1",5,50,"c1",0.0895382078513818,589
"ESR1",5,50,"c4",1.11390226616212,589
"FAM107B",5,50,"c1",0.75890175230114,589
"FAM49A",5,50,"c2",0.158280166176289,589
"FASN",5,50,"c1",5.95022993194671,589
"FBLN1",5,50,"c2",2.30133756386688,589
"FCER1A",5,50,"c3",0.504279048602395,589
"FCER1G",5,50,"c3",4.55193776194718,589
"FCGR3A",5,50,"c3",0.915156444181258,589
"FGL2",5,50,"c3",2.9140274626961,589
"FLNB",5,50,"c1",1.95446801505163,589
"FOXA1",5,50,"c1",8.44180661443871,589
"FOXC2",5,50,"c4",0.182485318519702,589
"FOXP3",5,50,"c5",0.110107329921334,589
"FSTL3",5,50,"c1",0.187633452974889,589
"GATA3",5,50,"c1",7.9764601252806,589
"GJB2",5,50,"c2",0.920533084367073,589
"GLIPR1",5,50,"c2",0.67163096926903,589
"GNLY",5,50,"c5",0.18515440788489,589
"GPR183",5,50,"c5",0.737472882687447,589
"GZMA",5,50,"c5",0.748189019075475,589
"GZMK",5,50,"c5",0.0604852623793926,589
"HAVCR2",5,50,"c3",1.2030735819312,589
"HMGA1",5,50,"c1",1.48938517226498,589
"HOOK2",5,50,"c1",0.415380381263935,589
"HOXD8",5,50,"c1",0.346322376429399,589
"HOXD9",5,50,"c7",0.664390488743116,589
"HPX",5,50,"c1",0.107901200148804,589
"IGF1",5,50,"c2",1.21538371705121,589
"IGSF6",5,50,"c3",1.94518245084815,589
"IL2RA",5,50,"NoSig",0,589
"IL2RG",5,50,"c5",1.23121525431761,589
"IL3RA",5,50,"c7",0.53858313489013,589
"IL7R",5,50,"c5",3.37054199427287,589
"ITGAM",5,50,"c3",0.503458106926602,589
"ITGAX",5,50,"c3",1.86470564045826,589
"ITM2C",5,50,"c6",3.1256605860756,589
"JUP",5,50,"c1",1.12163558328305,589
"KARS",5,50,"c1",0.460359793479044,589
"KDR",5,50,"c7",1.14814103686934,589
"KIT",5,50,"c4",1.09786286094038,589
"KLF5",5,50,"c1",0.795708572196785,589
"KLRB1",5,50,"c5",0.893937876523019,589
"KLRC1",5,50,"c5",0.18664949931959,589
"KLRD1",5,50,"c5",0.256545900757654,589
"KLRF1",5,50,"c5",0.0746758018110663,589
"KRT14",5,50,"c4",4.66562019843195,589
"KRT23",5,50,"c4",1.19811638133544,589
"KRT5",5,50,"c4",3.40472903761983,589
"KRT6B",5,50,"c4",2.00606582240833,589
"KRT7",5,50,"c1",13.5069338264577,589
"KRT8",5,50,"c1",6.87580978244564,589
"LAG3",5,50,"c1",0.0412611499494231,589
"LARS",5,50,"c1",1.33656065913774,589
"LDHB",5,50,"c5",0.838439472963111,589
"LGALSL",5,50,"c1",0.167751254347112,589
